Date,Time,Time since start (s),X (N.m),Y (N.m),Z (N.m)
04/06/2026,18:01:17,9690.6,1.416517E-06,0.0001213553,-2.440943E-05
04/06/2026,18:01:17,9690.8,1.41517E-06,0.0001213494,-2.440813E-05
04/06/2026,18:01:17,9691,1.413822E-06,0.0001213436,-2.440682E-05
04/06/2026,18:01:18,9691.2,1.412475E-06,0.0001213377,-2.440552E-05
04/06/2026,18:01:18,9691.4,1.411128E-06,0.0001213319,-2.440422E-05
04/06/2026,18:01:18,9691.6,1.40978E-06,0.000121326,-2.440292E-05
04/06/2026,18:01:18,9691.8,1.408435E-06,0.0001213201,-2.440161E-05
04/06/2026,18:01:18,9692,1.407092E-06,0.0001213143,-2.440031E-05
04/06/2026,18:01:19,9692.2,1.405748E-06,0.0001213084,-2.439901E-05
04/06/2026,18:01:19,9692.4,1.4044E-06,0.0001213026,-2.43977E-05
04/06/2026,18:01:19,9692.6,1.403052E-06,0.0001212967,-2.43964E-05
04/06/2026,18:01:19,9692.8,1.401708E-06,0.0001212908,-2.439509E-05
04/06/2026,18:01:19,9693,1.400371E-06,0.000121285,-2.439379E-05
04/06/2026,18:01:20,9693.2,1.399039E-06,0.0001212792,-2.43925E-05
04/06/2026,18:01:20,9693.4,1.397712E-06,0.0001212733,-2.43912E-05
04/06/2026,18:01:20,9693.6,1.396394E-06,0.0001212675,-2.43899E-05
04/06/2026,18:01:20,9693.8,1.395085E-06,0.0001212617,-2.438861E-05
04/06/2026,18:01:20,9694,1.393781E-06,0.0001212559,-2.438732E-05
04/06/2026,18:01:21,9694.2,1.392478E-06,0.0001212501,-2.438603E-05
04/06/2026,18:01:21,9694.4,1.391173E-06,0.0001212442,-2.438474E-05
04/06/2026,18:01:21,9694.6,1.389869E-06,0.0001212384,-2.438345E-05
04/06/2026,18:01:21,9694.8,1.388561E-06,0.0001212326,-2.438216E-05
04/06/2026,18:01:21,9695,1.387253E-06,0.0001212268,-2.438087E-05
